Estado,OP,IP,HOSTNAME,POTENCIA ACTUAL,SPEED ACTUAL,FRECUENCIA ACTUAL,FEETS ACTUAL,POTENCIA NUEVO,SPEED NUEVO,FRECUENCIA NUEVO,FEETS NUEVO,Técnico,Fecha Planeada Update ,Fecha Real Update ,"Estatus
Update ","Estatus 
Impresión",Observaciones
MX-CMX,COYOACAN,172.17.43.215,COYDE-P01,105,97,100,SI,105,97,100,SI,TESTA,27/08/2024,27/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.216,COYDE-P02,70,105,100,SI,70,105,100,SI,TESTA,27/08/2024,28/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.220,COYDE-P03,95,100,100,SI,95,100,100,SI,TESTA,27/08/2024,29/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.225,COYDE-P04,100,100,100,SI,100,100,100,SI,TESTA,27/08/2024,30/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.219,COYDE-P05,110,96,100,SI,110,96,100,SI,TESTA,27/08/2024,31/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.217,COYDE-P06,115,100,100,SI,115,100,100,SI,TESTA,27/08/2024,01/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.209,HGODE-P02,105,95,100,SI,105,95,100,SI,TESTA,04/09/2024,02/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.210,HGODE-P01,108,94,100,SI,108,94,100,SI,TESTA,04/09/2024,03/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.213,HGODE-P03,105,93,100,SI,105,93,100,SI,TESTB,04/09/2024,04/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.214,HGODE-P04,100,100,100,SI,100,100,100,SI,TESTB,04/09/2024,05/09/2024,OK,OK,
MX-CMX,ZONA NORTE TEPEYAC,172.17.35.235,PTYDE-P01,82,102,100,SI,82,102,100,SI,TESTB,18/09/2024,06/09/2024,OK,OK,
MX-CMX,ZONA NORTE TEPEYAC,172.17.35.236,PTYDE-P02,110,100,100,SI,110,100,100,SI,TESTB,18/09/2024,07/09/2024,OK,OK,
MX-CMX,ZONA NORTE TEPEYAC,172.17.35.237,PTYDE-P03,110,93,100,NO,110,93,100,NO,TESTB,18/09/2024,08/09/2024,OK,OK,
MX-CMX,ZONA PONIENTE AO CUAJIMALPA,172.17.46.236,CJMDE-P01,105,100,100,SI,105,100,100,SI,TESTB,20/09/2024,09/09/2024,NOK,NOK,
MX-CMX,ZONA PONIENTE AO CUAJIMALPA,172.17.46.216,CJMDE-P02,105,100,100,SI,105,100,100,SI,TESTB,20/09/2024,10/09/2024,NOK,NOK,
MX-CMX,ZONA PONIENTE AO CUAJIMALPA,172.17.46.234,CJMDE-P03,105,100,100,SI,105,100,100,SI,TESTB,20/09/2024,11/09/2024,NOK,NOK,
MX-CMX,MH1,172.17.37.211,MHIDE-D01,111,93,100,SI,111,93,100,SI,TESTB,25/09/2024,12/09/2024,NOK,NOK,
MX-CMX,MH1,172.17.37.205,MHIDE–P02,102,99,100,SI,102,99,100,SI,TESTA,25/09/2024,13/09/2024,NOK,NOK,
MX-CMX,MH2,172.17.49.213,MH2DE-P01,96,100,100,SI,96,100,100,SI,TESTA,27/09/2024,14/09/2024,NOK,NOK,
MX-CMX,AEROPUERTO T2 CDMX,172.17.36.207,ITCDE-P01,100,100,100,SI,100,100,100,SI,TESTA,09/10/2024,15/09/2024,OK,OK,
MX-CMX,AEROPUERTO T2 CDMX,172.17.36.215,ITCDE-P02,100,100,100,SI,100,100,100,SI,TESTA,09/10/2024,16/09/2024,OK,OK,
MX-CMX,AEROPUERTO T1 CDMX,172.17.40.201,AERDE-P01,103,98,100,SI,103,98,100,SI,TESTA,11/10/2024,17/09/2024,OK,OK,
MX-TLA,TLAXCALA,172.17.29.210,TLADE-P01,89,100,100,SI,89,100,100,SI,TESTA,16/10/2024,18/09/2024,OK,OK,
MX-MOR,MORELOS,172.17.28.210,MORDE-O01,110,93,100,SI,110,93,100,SI,TESTA,18/10/2024,19/09/2024,OK,OK,
MX-GRO,GUERRERO,172.17.30.220,GUEDE-P01,102,100,100,NO,102,100,100,NO,TESTA,23/10/2024,20/09/2024,OK,OK,
MX-MEX,EDO MEX,172.17.41.222,COLDE-P01,95,100,100,SI,95,100,100,SI,TESTA,25/10/2024,21/09/2024,NOK,NOK,
MX-MEX,EDO MEX, 172.17.41.208,COLDE-P02,105,95,100,SI,105,95,100,SI,TESTA,25/10/2024,22/09/2024,NOK,NOK,
MX-SIN,SINALOA,172.17.4.209,SINDE-P01 ,100,100,100,SI,100,100,100,SI,TESTB,29/10/2024,23/09/2024,NOK,NOK,
MX-SIN,SINALOA,172.17.4.210,SINDE-P02 ,100,100,100,SI,100,100,100,SI,TESTB,29/10/2024,24/09/2024,NOK,NOK,
MX-SIN,SINALOA,,SINDE-,,,,,,,,,TESTB,,25/09/2024,NOK,NOK,
MX-SON,SONORA,172.17.26.202,SONDE-P01,95,98,100,SI,95,98,100,SI,TESTB,31/10/2024,26/09/2024,NOK,NOK,
MX-SON,SONORA,172.17.26.201,SONDE-P02,97,100,100,SI,97,100,100,SI,TESTB,31/10/2024,27/09/2024,NOK,NOK,
MX-SON,SONORA,172.17.26.240,SONDE-P03,100,95,100,SI,100,95,100,SI,TESTB,31/10/2024,28/09/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.216,NLEDE-P01,107,95,100,NO,107,95,100,NO,TESTB,05/11/2024,29/09/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.217,NLEDE-P02,95,91,100,SI,95,91,100,SI,TESTB,05/11/2024,30/09/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.218,NLEDE-P03,118,85,100,NO,118,85,100,NO,TESTB,05/11/2024,01/10/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.196,NLEDE-P04,105,95,100,SI,105,95,100,SI,TESTB,05/11/2024,02/10/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.112,NLEDE-P05,108,92,100,NO,108,92,100,NO,TESTB,05/11/2024,03/10/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.219,NLEDE-P06,105,90,100,NO,105,90,100,NO,TESTB,05/11/2024,04/10/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.208,NLEDE-P07,102,90,100,NO,102,90,100,NO,TESTB,05/11/2024,05/10/2024,NOK,NOK,
MX-NLE,NUEVO LEON,172.17.19.209,NLEDE-P08,120,85,100,NO,120,85,100,NO,TESTB,05/11/2024,06/10/2024,NOK,NOK,
MX-NLE,NUEVO LEON,"1,721,719,210",NLEDE-P09,113,95,100,NO,113,95,100,NO,TESTB,05/11/2024,07/10/2024,NOK,NOK,
MX-VER,VERACRUZ,172.17.6.204,VERDE-P01,100,100,100,SI,100,100,100,SI,TESTB,07/11/2024,08/10/2024,NOK,NOK,
MX-VER,VERACRUZ,172.17.6.212,VERDE-P02,100,100,100,SI,100,100,100,SI,TESTB,07/11/2024,09/10/2024,NOK,NOK,
MX-VER,VERACRUZ,172.17.6.210,VERDE-P03,95,93,100,SI,95,93,100,SI,TESTA,07/11/2024,10/10/2024,NOK,NOK,
MX-PUE,PUEBLA,172.17.21.250,PUEDE-P01,94,100,100,SI,94,100,100,SI,TESTA,13/11/2024,11/10/2024,NOK,NOK,
MX-PUE,PUEBLA,172.17.21.229,PUEDE-P02,105,100,100,SI,105,100,100,SI,TESTA,13/11/2024,12/10/2024,NOK,NOK,
MX-PUE,PUEBLA,172.17.21.111,PUEDE-P03,110,98,100,SI,110,98,100,SI,TESTA,13/11/2024,13/10/2024,NOK,NOK,
MX-BCN,TIJUANA,172.17.2.220,TIJDE-P01,100,95,100,SI,100,95,100,SI,TESTA,15/11/2024,14/10/2024,NOK,NOK,
MX-BCN,TIJUANA,172.17.2.218,TIJDE-P02,99,94,100,SI,99,94,100,SI,TESTA,15/11/2024,15/10/2024,NOK,NOK,
MX-BCN,TIJUANA,172.17.2.219,TIJDE-P03,105,95,100,SI,105,95,100,SI,TESTA,15/11/2024,16/10/2024,NOK,NOK,
MX-CHH,CHIHUAHUA,199.1.8.192,CHHDE-O01,105,95,100,SI,105,95,100,SI,TESTA,19/11/2024,17/10/2024,NOK,NOK,
MX-CHH,CHIHUAHUA,199.1.8.213,CHHDE-P02,115,70,100,NO,115,70,100,NO,TESTA,19/11/2024,18/10/2024,NOK,NOK,
MX-QUE,QUERETARO,172.17.22.240,QRODE-P01,100,100,100,SI,100,100,100,SI,TESTA,20/11/2024,19/10/2024,NOK,NOK,
MX-QUE,QUERETARO,172.17.22.252,QRODE-P02,100,100,100,SI,100,100,100,SI,TESTA,20/11/2024,20/10/2024,NOK,NOK,
MX-QUE,QUERETARO,172.17.22.210,QRODE-P03,100,92,100,SI,100,92,100,SI,TESTA,20/11/2024,21/10/2024,OK,OK,
MX-CAM,CAMPECHE,172.17.45.208,CAMDE-P01,100,100,100,SI,100,100,100,SI,TESTA,25/11/2024,22/10/2024,OK,OK,
MX-CHP,CHIAPAS,172.17.25.203,CHIDE-A01,95,98,100,SI,95,98,100,SI,TESTA,27/11/2024,23/10/2024,OK,OK,
MX-DUR,DURANGO,172.17.17.209,DURDE-P01,112,100,100,SI,112,100,100,SI,TESTA,29/11/2024,24/10/2024,OK,OK,
MX-NAY,NAYARIT,172.17.18.204,NAYDE-P01,100,100,100,SI,100,100,100,SI,TESTA,02/12/2024,25/10/2024,OK,OK,
MX-OAX,OAXACA,172.17.20.210,OAXDE-P01,100,100,100,SI,100,100,100,SI,TESTA,03/12/2024,26/10/2024,OK,OK,
MX-TAB,TABASCO,172.17.15.214,TABDE-P01,100,100,100,SI,100,100,100,SI,TESTA,04/12/2024,27/10/2024,OK,OK,
MX-CHP,TAPACHULA,172.17.13.210,TAPDE-P01,100,100,100,SI,100,100,100,SI,TESTA,05/12/2024,28/10/2024,OK,OK,
MX-GUA,GUANAJUATO,172.17.11.225,GTODE-P01,101,95,100,SI,101,95,100,SI,TESTA,10/12/2024,29/10/2024,OK,OK,
MX-GUA,GUANAJUATO,172.17.11.215,GTODE-P02,108,85,100,SI,108,85,100,SI,TESTA,10/12/2024,30/10/2024,OK,OK,
MX-GUA,GUANAJUATO,172.17.11.214,GTODE-P03,100,90,100,SI,100,90,100,SI,TESTA,10/12/2024,31/10/2024,OK,OK,
MX-MIC,MICHOACAN,172.17.12.200,MICDE-P01,100,100,100,SI,100,100,100,SI,TESTA,12/12/2024,01/11/2024,OK,OK,
MX-MIC,MICHOACAN,172.17.12.229,MICDE-P02,108,100,100,SI,108,100,100,SI,TESTA,12/12/2024,02/11/2024,OK,OK,
MX-MIC,MICHOACAN,172.17.+C70:Q7012.207,MICDE-P03,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-YUC,YUCATAN,172.17.+C70:Q7012.208,MICDE-P04,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-COL,COLIMA,172.17.+C70:Q7012.209,MICDE-P05,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-ROO,QUINTANA ROO,172.17.+C70:Q7012.210,MICDE-P06,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-AGU,AGUASCALIENTES,172.17.+C70:Q7012.2+C74:Q7411,MICDE-P07,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-BCS,BAJA CALIFORNIA SUR,172.17.+C70:Q7012.2+C74:Q7412,MICDE-P08,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-COA,COAHULIA,172.17.+C70:Q7012.2+C74:Q7413,MICDE-P09,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-SLP,SAN LUIS POTOSÍ,172.17.+C7+C77:P770:Q7012.2+C74:Q7414,MICDE-P10,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-TAM,TAMAULIPAS,172.17.+C7+C77:P770:Q7012.2+C74:Q7415,MICDE-P11,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-ZAC,ZACATECAS,172.17.+C7+C77:P770:Q7012.2+C74:Q7416,MICDE-P12,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
MX-JAL,JALISCO,172.17.+C7+C77:P770:Q7012.2+C74:Q7417,MICDE-P13,112,100,100,SI,112,100,100,SI,TESTA,12/12/2024,03/11/2024,OK,OK,
